"user_id","payment_month","first_payment_month","last_payment_month","new_paid_users","churned_users","total_revenue","revenue_metrics","users_metrics","new_mrr","churned_revenue","back_from_churn_revenue","back_from_churn_users","exprension_mrr","contraction_mrr","game_name","language","has_older_device_model","language"
"06RPvlsFPCmM9ag+iSM/Ag==",2022-04-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,"06RPvlsFPCmM9ag+iSM/Ag==",,12.03,new mrr,new_paid_users,12.03,,,,,,game 3,ru,false,ru
"06RPvlsFPCmM9ag+iSM/Ag==",2022-05-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,28.32,exprension_mrr,,,,,,16.29,,game 3,ru,false,ru
"06RPvlsFPCmM9ag+iSM/Ag==",2022-06-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,29.07,exprension_mrr,,,,,,0.75,,game 3,ru,false,ru
"06RPvlsFPCmM9ag+iSM/Ag==",2022-07-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,25.23,contraction_mr,,,,,,,-3.84,game 3,ru,false,ru
"06RPvlsFPCmM9ag+iSM/Ag==",2022-08-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,18.9,contraction_mr,,,,,,,-6.33,game 3,ru,false,ru
"06RPvlsFPCmM9ag+iSM/Ag==",2022-09-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,48.72,exprension_mrr,,,,,,29.82,,game 3,ru,false,ru
"06RPvlsFPCmM9ag+iSM/Ag==",2022-10-01 00:00:00.000 +0300,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,25.74,contraction_mr,,,,,,,-22.98,game 3,ru,false,ru
"06RPvlsFPCmM9ag+iSM/Ag==",2022-11-01 00:00:00.000 +0200,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,"06RPvlsFPCmM9ag+iSM/Ag==",39.78,churned revenue,churned_users,,39.78,,,14.04,,game 3,ru,false,ru
"0A5RkQrm+GBgG7KSFk/xhw==",2022-05-01 00:00:00.000 +0300,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,"0A5RkQrm+GBgG7KSFk/xhw==",,13.8,new mrr,new_paid_users,13.8,,,,,,game 3,uk,false,uk
"0A5RkQrm+GBgG7KSFk/xhw==",2022-06-01 00:00:00.000 +0300,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,48.21,exprension_mrr,,,,,,34.41,,game 3,uk,false,uk
"0A5RkQrm+GBgG7KSFk/xhw==",2022-07-01 00:00:00.000 +0300,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,52.77,exprension_mrr,,,,,,4.56,,game 3,uk,false,uk
"0A5RkQrm+GBgG7KSFk/xhw==",2022-08-01 00:00:00.000 +0300,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,40.83,contraction_mr,,,,,,,-11.94,game 3,uk,false,uk
"0A5RkQrm+GBgG7KSFk/xhw==",2022-09-01 00:00:00.000 +0300,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,35.49,contraction_mr,,,,,,,-5.34,game 3,uk,false,uk
"0A5RkQrm+GBgG7KSFk/xhw==",2022-10-01 00:00:00.000 +0300,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,,,35.73,exprension_mrr,,,,,,0.24,,game 3,uk,false,uk
